"gene" "role" "n_cells_ON" "min" "mean" "median" "max"
"bmp10" "ligand" 10 95.0389659760502 340.403648066461 266.914708852879 800.640512409928
"bmp15" "ligand" 74 20.9546959473618 265.889798732301 190.865397215517 1643.83561643836
"bmp2" "ligand" 9431 10.9808055518953 430.301582598354 239.015257140581 8697.59143621766
"bmp4" "ligand" 6107 10.093669250646 294.13098239527 213.401621852326 2599.65337954939
"bmp5" "ligand" 2082 18.2902293594762 260.764896080033 214.569373241043 1674.10714285714
"bmp6" "ligand" 85 21.2716172810619 209.9890862707 169.952413324269 807.754442649435
"bmp7" "ligand" 4252 10.9808055518953 112.453881651154 81.8297190808277 1851.85185185185
"bmp8a" "ligand" 233 10.6855872798769 108.773625974022 73.2815477062876 592.06631142688
"gdf2" "ligand" 19 103.263114415531 320.505837556277 193.87359441644 1556.28566487982
"gdf5" "ligand" 560 31.7732659740095 447.672374714539 348.796651552145 3000
"gdf6" "ligand" 112 40.9517179245669 301.205676788033 228.613005158972 1603.84923817161
"gdf7" "ligand" 1 51.5357658214801 51.5357658214801 51.5357658214801 51.5357658214801
"acvr1" "receptor_type1" 3818 10.093669250646 152.650819583013 107.486432632342 1013.17122593718
"acvrl1" "receptor_type1" 7480 11.3779881441364 386.840106312236 241.575072977323 5439.40166581676
"bmpr1a" "receptor_type1" 7432 10.4185116114312 173.713529098663 123.327384233861 1960.78431372549
"bmpr1b" "receptor_type1" 384 13.3713078476206 168.839976119987 135.153599078785 917.431192660551
"acvr2a" "receptor_type2" 2789 10.6855872798769 159.989867606247 108.885017421603 1108.64745011086
"acvr2b" "receptor_type2" 1123 12.4274547329961 173.539159588026 122.549019607843 1061.57112526539
"bmpr2" "receptor_type2" 2060 11.6582727103152 148.704056725128 109.902208292768 1109.87791342952
