"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 1258 17.8778939840887 310.4558172902 186.997490867364 2667.5945256321 39005.3821207634
"bmp3" 861 19.3892389723703 114.04904997867 86.9036238811158 807.474910600992 7376.59337355943
"bmp4" 1162 12.8837754615613 384.686345953103 324.54378360279 1786.71133445003 21374.1732202883
"bmp5" 546 18.2902293594762 205.271492731438 167.886901304148 1059.12404211576 10217.9379500843
"bmp6" 7 21.2716172810619 51.7615196907119 52.7287107830214 91.9117647058823 1095.49310451588
"bmp7" 735 12.8837754615613 94.9919750668131 72.846476051721 705.052878965922 4934.37031329889
"bmp8a" 14 11.7635987201205 52.0113165035663 43.8783370153186 126.039828585833 2307.47879388151
"bmp15" 1 253.678335870117 253.678335870117 253.678335870117 253.678335870117 NA
"gdf1" 1 86.0363073216898 86.0363073216898 86.0363073216898 86.0363073216898 NA
"gdf6" 2 121.847203606677 184.349916293588 184.349916293588 246.852628980499 4238.23256529292
"gdf9" 33 23.3317778814746 86.221107462069 91.2575287461216 177.746178457163 2408.65568286333
"gdf10" 1 369.0036900369 369.0036900369 369.0036900369 369.0036900369 NA
"gdf11" 12 55.3127938492173 112.228035261343 116.282835977504 140.805406927626 624.473535706316
"gdf15" 108 23.7467645033364 216.996262231763 112.050052187076 5180.5802249852 122260.616752643
"inhba" 11 29.9069892633909 144.644877051761 87.6577840112202 564.079422382672 16875.3571640542
"inhbb" 54 23.0091346264467 67.7801358603884 54.904368969755 338.371306113242 3785.74001337215
"inha" 51 20.7598090097571 69.9542389586812 58.9622641509434 222.568439795237 3066.49266181488
"tgfb1" 1403 11.7635987201205 146.225506275252 120.534207608119 989.194947496576 7612.4869996418
"tgfb2" 257 20.5790957545325 162.987036430485 139.372822299652 513.171399247349 4786.62175409694
"tgfb3" 360 17.6697176379121 152.55421563304 128.700744779781 878.348704435661 5378.31361433177
"acvrl1" 856 11.7635987201205 159.795502637086 128.099023293559 884.694780300796 8354.091314201
"acvr1" 729 11.7635987201205 93.9414863850246 76.7106474378644 390.396252195979 3952.85247643734
"bmpr1a" 1003 19.3892389723703 106.427139586173 84.850027576259 814.332247557003 6172.3644337611
"acvr1b" 22 19.3892389723703 46.4668430760738 39.5034409595494 126.614332742466 1677.78541664499
"tgfbr1" 1055 15.960927649115 171.80596372535 122.744568552842 1404.82322641068 14680.8643124546
"bmpr1b" 46 25.4803037252204 96.9445333971232 92.9627199412363 197.784810126582 1866.80451421743
"acvr1c" 2 37.6435159043855 39.05238712476 39.05238712476 40.4612583451345 10.1654124715007
"acvr2a" 312 15.960927649115 82.6102702590721 63.2411174056137 455.166135639508 4123.73383421004
"acvr2b" 120 15.960927649115 75.1958108914648 64.0681126019852 256.213169356905 2774.51374561424
"bmpr2" 283 17.256850969835 87.0245510904226 75.6658595641646 369.685767097967 4006.91911896723
"tgfbr2" 1527 17.6697176379121 158.03218953926 121.787845573012 1317.52305665349 9802.51969010435
"tgfbr3" 784 18.2902293594762 150.154025710164 118.315297669642 879.700901693424 9417.50756288355
"eng" 582 12.8837754615613 171.104129945425 133.573771474574 1179.59304040106 9739.11551480933
"cfc1" 1 24.165679901404 24.165679901404 24.165679901404 24.165679901404 NA
"rgma" 78 22.4678709445493 93.0045058392348 82.6062658816889 339.040515341583 4131.60161869192
"rgmb" 328 12.8837754615613 81.7349394943747 65.8984123363669 275.608635737253 3191.9610465268
"bambi" 1181 11.7635987201205 190.712226568929 120.948234155781 4081.63265306123 32974.0960944786
