"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 85 20.9546959473618 239.799387389624 169.330804659984 2089.86415882968 33482.3363450326
"bmp3" 40 38.2387243561555 150.47089468689 118.347184565099 496.031746031746 6712.47531721113
"bmp4" 291 20.9546959473618 239.152420276285 187.125748502994 1685.70893425735 18062.3854252334
"bmp5" 1 160.901045856798 160.901045856798 160.901045856798 160.901045856798 NA
"bmp6" 11 33.4325164655144 94.493071567381 76.8403258029814 211.729832733432 2486.34708586691
"bmp7" 231 20.9546959473618 196.740576745329 149.767859817283 1204.09391932571 10661.3311746
"bmp8a" 3 21.9322294111196 55.4431605746185 46.8077139112526 97.5895384014834 2681.90934609783
"bmp15" 13 20.9546959473618 198.111406500026 164.79894528675 494.315373208107 11827.3456370816
"gdf3" 8 38.8560770904569 392.952359957494 354.575725238837 1045.40023894863 21871.8264074073
"gdf5" 2 91.9582509540669 339.234257441843 339.234257441843 586.510263929619 36049.0852814446
"gdf6" 1 207.55500207555 207.55500207555 207.55500207555 207.55500207555 NA
"gdf9" 4 90.9752547307132 140.828767420625 130.795829499075 210.748155953635 2446.68751461868
"gdf10" 59 29.3987946494194 366.499647170323 261.164794985636 1509.05432595573 27136.7698306835
"gdf11" 6 38.8560770904569 92.2724907854821 93.9105140516654 166.472448809722 2285.84510658198
"gdf15" 277 21.3725448289128 423.477056308117 204.616140121133 4376.49880095923 82502.6361284422
"nodal" 4 48.3933410762679 239.166403834573 240.369570222077 427.533133817871 10132.3405910092
"inhba" 15 74.9400479616307 255.481765280591 187.336080929187 684.462696783025 10388.192811586
"inhbb" 48 33.8661609319968 281.10414113672 250.539137633307 1027.04553235193 14192.6359213142
"inha" 15 20.9546959473618 164.397175308481 167.252048837598 288.766965059197 5004.98184156247
"tgfb1" 534 20.9546959473618 382.58238082529 312.35529846883 1835.7044515833 20960.3591616
"tgfb2" 91 32.2632682690757 276.545688506229 220.799293442261 1375.89433131535 18852.2856908037
"tgfb3" 62 30.2306599353064 223.345835592371 168.085028518968 854.846982390152 14094.7893078519
"acvrl1" 419 19.1193621780777 368.923473230741 289.184499710815 2036.65987780041 20992.3802983836
"acvr1" 101 19.0857906288768 174.534264303127 124.331717021012 592.417061611374 9037.75668909162
"bmpr1a" 456 29.3987946494194 191.910028611709 154.764383770451 1021.97240674502 8666.53195255273
"acvr1b" 13 40.9232280242266 148.609064551865 91.8442321822189 442.282176028306 9627.17225942147
"tgfbr1" 578 19.1193621780777 241.465286732188 186.135537298201 1429.59256611866 14431.9405563937
"bmpr1b" 42 46.8077139112526 164.016468489935 139.531175639224 370.644922164566 4038.14270528735
"acvr2a" 202 19.1193621780777 179.241040343169 153.565699082495 564.971751412429 7152.5060041733
"acvr2b" 169 19.1193621780777 168.737929241453 136.221223266585 617.665225447807 7184.35864757627
"bmpr2" 152 28.5697960116565 173.392434033831 144.162602199077 593.295757935331 6588.05521799066
"tgfbr2" 598 19.1193621780777 253.259555448843 198.958898101403 1817.08055723804 16750.8594316853
"tgfbr3" 300 20.9546959473618 197.980081469583 174.057233284197 1030.57368601855 9345.1940623368
"eng" 586 28.5697960116565 1005.53944239333 634.971548579759 6543.86815317499 105414.71990689
"rgma" 54 21.9322294111196 201.169211001004 173.869117652393 675.219446320054 8132.74702335159
"rgmb" 170 32.8536697549116 186.67275284099 143.267137279372 746.825989544436 8698.27327682222
"hfe2" 1 162.46953696182 162.46953696182 162.46953696182 162.46953696182 NA
"bambi" 288 29.3987946494194 344.539803582596 257.135578419839 2179.24271315718 28351.0063641363
