"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 99 40.9517179245669 326.509183562938 276.166804750069 2053.91527599487 21783.8457049569
"bmp3" 539 58.4521861117606 307.811744643447 261.985852763951 2157.96288303841 11988.4948726801
"bmp4" 1470 20.5829079532356 452.131529284249 358.134124099294 2388.53503184713 23730.5026733144
"bmp5" 640 41.1658159064713 335.277892811886 282.048120408414 1674.10714285714 13721.3056490933
"bmp6" 15 116.863386700947 273.267743332159 272.257010618023 619.962802231866 6250.52809084873
"bmp7" 37 43.2170793897748 291.888144136931 232.991612301957 1561.68662155128 21914.4740790701
"gdf2" 7 103.263114415531 215.734908224468 179.823772702751 480.884828083674 8780.67197127444
"bmp15" 1 674.76383265857 674.76383265857 674.76383265857 674.76383265857 NA
"gdf1" 1 359.582883854728 359.582883854728 359.582883854728 359.582883854728 NA
"gdf3" 29 48.8042947779405 276.615977805324 218.579234972678 697.59330310429 13898.4872411651
"gdf5" 4 79.6305144131231 269.466984749295 304.641855038042 388.953714507974 7938.19280367066
"gdf6" 32 40.9517179245669 224.59237839738 203.200482942222 853.242320819113 9234.38165459719
"gdf9" 30 64.499484004128 261.00833201047 220.97267002992 814.332247557003 12294.0424588191
"gdf10" 536 29.1970802919708 441.95832147269 301.538440089428 3472.22222222222 38336.534610479
"gdf11" 3 102.785486689279 319.625408038397 164.527805199079 691.562932226833 32759.025804898
"gdf15" 76 39.1328167801518 290.464517352031 202.985872117377 1535.39075694764 24970.6999119948
"nodal" 3 78.0701069560465 191.1071516013 197.277569540343 297.973778307509 6340.92529247736
"inhba" 52 57.9139398853304 260.229919751879 222.099165390552 674.76383265857 8320.82854554337
"inhbb" 57 20.5829079532356 217.095298584434 155.480694480435 1112.96605453534 16455.7318509089
"inha" 38 20.5829079532356 232.721175787134 186.254585075155 975.609756097561 11847.8977523108
"tgfb1" 1957 19.8826921165126 430.154294682784 345.736635118199 3121.0986267166 20646.0428013846
"tgfb2" 337 56.4238560063195 305.393230370295 250.689395838556 1334.51957295374 11845.5313834513
"tgfb3" 625 20.5829079532356 337.569808549907 280.22978842651 1748.25174825175 15009.7034584306
"acvrl1" 1588 19.8826921165126 682.079604655416 325.467868667968 5439.40166581676 95793.0458953099
"acvr1" 295 28.2190930383497 225.312596854908 195.388823759281 983.767830791933 8851.41605444695
"bmpr1a" 699 19.8826921165126 281.584980927765 240.269101393561 1252.34815278647 10142.6977218531
"acvr1b" 7 38.1519209492198 205.164087682971 214.316330904415 376.647834274953 6462.2972344366
"tgfbr1" 1031 28.4835365158938 285.270669035058 247.770069375619 1592.35668789809 10703.5007633356
"bmpr1b" 10 19.8826921165126 152.29138946979 137.308296529836 459.770114942529 10976.1461652824
"acvr1c" 11 65.1763018966304 214.013244954265 189.214758751183 454.476594455386 6909.66447988561
"acvr2a" 317 19.8826921165126 280.818411075345 247.218788627936 986.679822397632 8714.01913080426
"acvr2b" 200 28.4835365158938 261.847679499126 235.65571153142 951.474785918173 8650.17117113161
"bmpr2" 226 20.5829079532356 243.632956286705 221.619079323938 813.449023861171 8669.69538765752
"tgfbr2" 2089 39.1328167801518 394.013987870895 324.833522819555 2023.47227842979 16831.9122098369
"tgfbr3" 1086 19.8826921165126 333.275102145429 279.759543756756 2654.2800265428 15064.2441854524
"eng" 1244 20.5829079532356 802.184475680023 423.126107693215 5701.61545771302 93617.175452628
"rgma" 343 67.145638890754 276.774008039812 241.312741312741 1116.07142857143 7697.2567946461
"rgmb" 376 42.8504092214081 239.431510659289 206.943866596633 1003.51229302559 9405.18421563015
"bambi" 845 32.5754120789628 367.629972427991 281.69014084507 3535.35353535354 25649.506579855
