"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 214 12.4644762427083 238.370893810987 152.933478824782 2228.10193566356 30729.2391548823
"bmp3" 21 15.69908003391 92.2681110033269 80.4246421103426 193.554630794542 2862.92901380722
"bmp4" 97 18.0528225588071 169.030121164946 140.429714927679 810.810810810811 10266.5791799026
"bmp5" 8 38.3509108341323 113.270390347395 108.376436300117 229.515721826945 3986.95001826058
"bmp7" 185 22.9953779290363 127.899317825371 106.587081645705 364.963503649635 4051.99873321682
"bmp8a" 48 34.5590268178048 111.450644582057 95.5224245377862 312.142336905629 3422.3399800894
"gdf2" 2 107.71219302025 121.460206840033 121.460206840033 135.208220659816 311.226020284773
"bmp15" 4 49.4731113639737 78.0803106693105 56.4390626572341 149.9700059988 2994.51029843984
"gdf3" 4 93.9672993798158 353.569917266969 178.75048018643 962.8114093152 47201.6176659652
"gdf5" 6 31.7732659740095 73.7630365997832 43.0160529783836 215.998272013824 6995.9498351111
"gdf6" 5 42.1958732435968 90.2723349343974 85.3096741170449 161.890885543144 2365.71588647336
"gdf9" 12 51.2557662737058 130.915441953515 107.031008108322 243.486729973216 4164.17641061704
"gdf10" 165 25.9369731552328 362.228560961351 202.163145658546 2771.54546654349 44256.1937920539
"gdf11" 11 40.607488020791 125.997367857497 111.719360965255 244.081034903588 3479.57023503012
"gdf15" 261 11.9906952205089 420.612866659048 170.039108995069 6461.48614181262 130753.37987853
"inhba" 72 13.3713078476206 227.741237381442 132.703706989793 1864.67767714438 33186.9737628249
"inhbb" 377 12.2788276175391 145.544086995215 103.993344425957 1221.00122100122 12640.5970888019
"inha" 10 30.322326328876 83.4907016414504 59.8277718270338 163.025758069775 3223.76945961611
"tgfb1" 2093 13.3713078476206 328.448349566169 241.254523522316 2988.04780876494 27870.7605785757
"tgfb2" 311 11.8067936290542 145.630401092686 110.692937790569 926.78405931418 11206.9129496051
"tgfb3" 383 12.2788276175391 153.754106855915 107.909787417719 1864.97575531518 19107.9099515846
"acvrl1" 501 11.9906952205089 188.010048805762 138.908181691902 1506.78051230537 16601.2001765083
"acvr1" 446 17.0759195382671 120.343870021046 105.340796117866 574.382538770821 4845.6095869731
"bmpr1a" 462 14.4531645203717 109.920948527897 93.2456419997882 428.540818512963 4029.76787908908
"acvr1b" 13 65.2188091045458 133.830260818676 98.173964264677 269.323996768112 3655.75320839973
"tgfbr1" 691 11.9906952205089 146.858008094614 125.360411182149 693.160813308688 6535.4718162743
"bmpr1b" 9 13.3713078476206 30.8233020250125 18.5514989611161 69.6621386276559 1311.11041021063
"acvr1c" 5 33.8569880823402 110.766556681834 54.6866455211637 251.445813427206 8796.723177261
"acvr2a" 169 11.8067936290542 125.909709066817 107.411385606874 435.634937922021 4889.10934154884
"acvr2b" 44 22.1479037009147 84.3203273056202 64.2681752284807 342.700479780672 4828.06323949713
"bmpr2" 162 11.8067936290542 106.953647673993 89.3176590361709 351.000351000351 3886.85240661317
"tgfbr2" 1708 13.3713078476206 229.047264570803 190.467276513846 1524.72228272707 12634.9662244739
"tgfbr3" 739 15.69908003391 188.180145256677 151.837230488916 991.571641051066 8736.41195921963
"eng" 586 11.8067936290542 345.531880371374 219.508299962603 2128.99185973701 31302.1618625691
"rgma" 110 11.9906952205089 131.293949068831 114.818951940039 721.761097076867 6779.77590767965
"rgmb" 490 11.8067936290542 161.238305628662 142.518684104531 934.579439252336 8163.15975023585
"hfe2" 2 148.720999405116 152.964492785406 152.964492785406 157.207986165697 23.5443346892689
"bambi" 563 11.9906952205089 235.389917070749 169.033130493577 4145.40816326531 40293.9485838646
