"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 4 36.2871035633936 96.4672655417966 71.9103208656823 205.761316872428 6313.60656158317
"bmp4" 3 100.030009002701 502.016287244655 203.915171288744 1202.10368144252 73760.5155012447
"bmp7" 11 88.3080183680678 169.528164622346 174.428745857317 230.308613542146 1050.71225166555
"bmp8a" 2 58.6475866518093 117.569469287783 117.569469287783 176.491351923756 5905.93506018011
"gdf3" 174 13.274395019447 97.861721918495 77.8948569734485 513.379965346852 6658.15377225227
"gdf9" 25 21.1788127157592 96.4626476379778 106.769165065129 178.316690442225 3390.90714966398
"gdf11" 2 30.2608485141923 71.3987114504341 71.3987114504341 112.536574386676 4740.48825975201
"gdf15" 43 18.6514967826168 90.1012829647377 83.3889259506337 225.17451024544 3065.42444255092
"inhba" 284 21.4279592011657 131.621776218612 120.454475810907 457.980306846806 4194.22294767299
"tgfb1" 2439 26.548790038894 310.177592600232 253.292806484296 1430.10368251698 13660.1415702964
"tgfb2" 3 109.337415263503 163.079357927166 161.655350792111 218.245307725884 1819.20823401506
"tgfb3" 8 26.7101151205962 141.962817735465 137.263877953675 251.825736590279 4661.70992428988
"acvrl1" 318 24.9128051818635 209.408973331395 166.750046324091 1428.57142857143 13275.4843559052
"acvr1" 39 21.4279592011657 73.8727541714419 61.2970454824077 168.406871000337 3089.12221526937
"bmpr1a" 78 28.8275822306783 139.240201508215 138.692405576641 255.885363357216 2995.11457878535
"acvr1b" 11 28.9620018535681 80.1121741694482 67.6727346552074 252.079657171666 5358.13467908296
"tgfbr1" 482 14.2213120582505 125.996075363013 110.585758442451 665.429201835184 6440.11945870405
"acvr1c" 4 42.9074058182442 136.710876388989 138.563649778133 226.808800181447 5523.30795356406
"acvr2a" 50 21.4279592011657 134.733344506284 123.078953398991 344.827586206897 3875.98394000896
"acvr2b" 32 21.8402603359032 104.476599614107 89.6982347062681 221.729490022173 3634.40350905975
"bmpr2" 90 21.8402603359032 101.856823032298 94.920742463912 270.8192281652 3197.25720116459
"tgfbr2" 365 14.2213120582505 142.720032499863 136.3698349925 667.11140760507 5402.20657681131
"tgfbr3" 45 19.9553001277139 82.9713623165699 63.1672035878972 300.525920360631 4887.26437490937
"eng" 274 17.9179358537896 92.3627297199689 75.3967818293617 478.583393156258 4638.29890526256
"cfc1" 2 80.0352154948177 144.46715861434 144.46715861434 208.899101733863 5747.2927881691
"rgmb" 52 22.465347201941 112.941100407462 110.266136581926 217.344055640078 2242.69444369222
"bambi" 268 18.0789326198181 83.8302484753844 62.2262946199859 497.512437810945 5104.1024691203
