"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 836 60.938452163315 373.558881787221 244.599101275295 2978.16015883521 36866.1030293072
"bmp3" 54 59.7228858098423 169.029427804679 133.985201068636 786.00903910395 10079.9905340405
"bmp4" 747 27.8071297480674 296.958537875825 216.919739696312 2599.65337954939 20235.1777920968
"bmp5" 192 60.4741170778907 210.551308420573 167.519657286127 754.716981132075 8634.6935281741
"bmp6" 20 67.371825102742 232.154856288191 206.416310006459 453.720508166969 7853.82814368173
"bmp7" 68 37.0864856846165 188.079915535567 134.424329952671 745.434215430488 10451.2745697422
"bmp8a" 18 68.4041316095492 140.080785463505 123.343451426505 296.208530805687 2878.95675478822
"bmp15" 5 91.9624793084422 110.799254389138 96.8429207824908 135.574837310195 424.927508858052
"gdf1" 1 144.864551644213 144.864551644213 144.864551644213 144.864551644213 NA
"gdf3" 4 129.23235978289 278.125205115742 196.474844271562 590.318772136954 15936.2364217735
"gdf5" 2 155.738981467061 184.707097571137 184.707097571137 213.675213675214 908.629675474239
"gdf6" 14 102.145045965271 265.010809308625 177.273046421538 1162.34017822549 27787.8354293888
"mstn" 15 60.5987153072355 386.119449314686 382.336073408526 856.898029134533 14646.0843132097
"gdf9" 26 71.3317640345246 173.573114433172 140.340433979832 483.558994197292 4864.25164940355
"gdf10" 205 67.8195998643608 521.844665573033 351.493848857645 4926.10837438424 57227.9002340791
"gdf11" 2 295.072292711714 365.022009774735 365.022009774735 434.971726837756 2680.91390993999
"gdf15" 118 60.4741170778907 741.491875448268 408.628088168167 8467.74193548387 169297.000666734
"inhba" 241 27.8071297480674 247.145945065205 161.043562283598 2621.02991057663 32471.7086013006
"inhbb" 126 60.4741170778907 201.283343537312 141.553277772394 1173.24990222917 13994.9927904809
"inha" 9 68.5918101378695 261.550347434418 172.890733056708 667.11140760507 20259.0155424016
"tgfb1" 1724 55.181547290586 455.372521593934 361.745428316402 3003.003003003 28046.2236081054
"tgfb2" 553 54.5167093714223 279.626775399627 199.183348272084 3387.53387533875 26425.2325680624
"tgfb3" 645 51.7384105960265 235.481371739561 183.183733284484 1510.57401812689 11346.7041435893
"acvrl1" 1361 51.7384105960265 409.082327864502 312.793243665937 2711.86440677966 28229.7163435708
"acvr1" 244 43.8846710843902 199.285286099036 161.004669135405 772.916988715412 8833.30926443794
"bmpr1a" 368 59.7228858098423 183.961103122844 158.516312442951 674.308833445718 5077.94205646254
"acvr1b" 12 76.6166104811523 178.939346273976 156.548640868822 357.78175313059 4102.01948662433
"tgfbr1" 777 37.0864856846165 247.520699630197 201.572263656521 1477.10487444609 11180.8360543633
"bmpr1b" 35 60.7348921955664 140.213090372221 107.043459644616 338.983050847458 3518.63944166697
"acvr1c" 1 431.965442764579 431.965442764579 431.965442764579 431.965442764579 NA
"acvr2a" 242 37.0864856846165 242.652464287396 175.223947841907 990.589400693413 11102.8496508325
"acvr2b" 65 62.9445458551017 263.676773662838 229.621125143513 926.78405931418 12790.6634600693
"bmpr2" 160 42.4178154825026 221.018878311195 171.572105027974 685.871056241427 8490.41321814185
"tgfbr2" 1192 27.8071297480674 292.734198443954 233.055021552226 1786.77784395473 14990.8966558115
"tgfbr3" 1109 27.8071297480674 258.625962607127 209.599664640537 1336.00534402138 10229.3303003043
"eng" 1809 43.8846710843902 831.242361681336 543.035568829758 6443.29896907216 84548.0481101557
"rgma" 376 61.7245849021665 207.073580314041 169.04944799947 840.336134453782 7316.75378530222
"rgmb" 571 42.4178154825026 242.673985722782 181.554103122731 1203.36943441637 11683.158000875
"hfe2" 18 88.0281690140845 417.934849347807 423.725243933281 752.351097178683 8619.59175536705
"bambi" 944 27.8071297480674 416.345716093944 294.594356285513 3807.71061399334 42644.7461312228
