"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 3 64.2343268242549 134.806634344199 131.199160325374 208.986415882968 3893.02221574128
"bmp3" 1 460.193281178095 460.193281178095 460.193281178095 460.193281178095 NA
"bmp4" 1 473.484848484848 473.484848484848 473.484848484848 473.484848484848 NA
"bmp7" 31 47.0212065641604 332.884308587225 325.20325203252 929.368029739777 8681.58403732584
"bmp8a" 6 74.2886858331476 118.882019991716 111.094262448124 200.440970134295 1915.02722221382
"gdf3" 16 23.2763837810158 233.90853942868 81.0877798020705 1127.14156898106 35686.1944234901
"gdf6" 1 142.959256611866 142.959256611866 142.959256611866 142.959256611866 NA
"gdf9" 2 71.2910814857061 180.531081165919 180.531081165919 289.771080846132 13220.3025130785
"gdf11" 51 65.7938022238305 292.44683157619 307.787011388119 595.947556615018 4984.47377796764
"gdf15" 3 20.1657625683115 73.8123617850895 63.3593106507001 137.912012136257 4806.77551095453
"nodal" 3 71.9786943064853 276.148453508696 77.1188401326444 679.347826086957 44155.2014002377
"inhba" 2 65.4364611961785 98.5596843773887 98.5596843773887 131.682907558599 2226.36247435867
"inhbc" 1 490.918016691213 490.918016691213 490.918016691213 490.918016691213 NA
"tgfb1" 4643 27.0848568565315 440.074493506721 372.43947858473 2672.36771779797 18579.0299750916
"tgfb2" 6 45.5788514129444 126.205747897407 118.846054982705 218.914185639229 2990.09136571586
"tgfb3" 31 45.5622380171314 283.844977213961 267.236771779797 897.666068222621 9680.90332802032
"acvrl1" 153 31.8440913288539 240.194573903329 239.980801535877 677.048070412999 6868.38267214682
"acvr1" 13 35.5922551252847 320.316164419783 310.752019888129 678.886625933469 15050.6175300602
"bmpr1a" 7 54.169713713063 252.370986421615 155.545185876497 678.886625933469 23724.3973839675
"acvr1b" 16 49.0677134445535 244.02223690038 256.160712692821 389.863547758285 5740.36182674448
"tgfbr1" 710 20.1657625683115 275.122325745161 250.69016781724 1080.49702863317 7588.57473610093
"acvr1c" 2 257.731958762887 298.87617999348 298.87617999348 340.020401224073 1132.8082021852
"acvr2a" 41 23.503972171297 249.352607726008 217.249619813165 679.347826086957 8082.50978521425
"acvr2b" 8 118.287201324817 250.127168289024 192.590104536834 551.267916207277 9476.07629041409
"bmpr2" 20 92.4556213017751 218.62832932136 194.715853157239 442.869796279894 5712.24511969805
"tgfbr2" 2081 20.2753391050465 314.156134332641 292.654375182909 1358.69565217391 8823.66937488727
"tgfbr3" 115 20.8707267187043 252.815777792872 246.487552378605 642.6735218509 4515.3250009885
"eng" 73 20.2753391050465 202.959242566263 199.8001998002 679.347826086957 5308.9315421903
"cfc1" 1 246.12355402412 246.12355402412 246.12355402412 246.12355402412 NA
"rgmb" 121 27.0848568565315 246.330139725765 233.754090696587 722.804481387785 6020.26734794659
"bambi" 57 40.4759977333441 298.440640901355 266.666666666667 1010.61141990905 10756.2003825474
