"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp7" 78 27.2286663399227 112.220971940134 91.8850239524654 355.618776671408 5226.95441048367
"gdf3" 1 66.3988579396434 66.3988579396434 66.3988579396434 66.3988579396434 NA
"gdf9" 6 83.5352100910534 228.679369497885 264.656148353112 320.410124959949 3337.96439073762
"gdf10" 1 54.1184110834506 54.1184110834506 54.1184110834506 54.1184110834506 NA
"gdf11" 3 68.1756203981456 240.648532765677 260.688216892596 393.081761006289 11091.7741526977
"inhba" 1 439.850450846712 439.850450846712 439.850450846712 439.850450846712 NA
"tgfb1" 879 26.892564205997 306.977423343109 255.069506440505 2428.02636142907 18739.2451251023
"tgfb3" 9 45.9284434850503 186.42452622031 157.579577686732 350.262697022767 7192.55851775657
"acvrl1" 99 34.0750332231574 238.426000929248 224.56770716371 714.285714285714 6977.14569094134
"acvr1" 1 72.6163677292862 72.6163677292862 72.6163677292862 72.6163677292862 NA
"bmpr1a" 1 166.444740346205 166.444740346205 166.444740346205 166.444740346205 NA
"acvr1b" 4 26.892564205997 95.6136925018847 92.7615484032364 170.039108995069 4958.48604112787
"tgfbr1" 257 22.6747086299941 165.562559607422 135.740464232388 739.918608953015 8000.25298050298
"acvr1c" 1 49.7636227917392 49.7636227917392 49.7636227917392 49.7636227917392 NA
"acvr2a" 2 75.3295668549906 94.9779425288248 94.9779425288248 114.626318202659 812.943840098357
"acvr2b" 28 29.5386069592958 139.84519038321 107.093037808246 362.187613183629 8336.75665534779
"bmpr2" 2 118.87779362815 124.163815907926 124.163815907926 129.449838187702 45.0083324807104
"tgfbr2" 148 28.8350634371396 205.787423293024 199.700467245255 736.919675755343 6914.58069136102
"tgfbr3" 37 22.6747086299941 186.766574837701 171.350239890336 391.849529780564 5544.48478941276
"eng" 59 28.5926688397095 204.810330828958 181.983621474067 789.577575996842 8801.84177428891
"rgmb" 17 34.0750332231574 181.031292249559 171.350239890336 382.848392036753 4428.543529574
"bambi" 57 22.6747086299941 106.395655803464 79.0201501382853 379.506641366224 6533.18082229255
