"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 2598 10.9808055518953 112.876178890297 84.4345073105519 1130.85621970921 8892.51903996101
"bmp3" 510 11.7605550982006 73.20777303512 69.6112220878406 316.295546558704 1888.90877697776
"bmp4" 1589 10.093669250646 96.6593787122782 76.7636447378521 700.0700070007 5804.70375396786
"bmp6" 3 39.2803833765417 44.2221372599507 40.2058539723384 53.1801744309721 136.58079452137
"bmp7" 2646 10.9808055518953 81.9450952499615 73.0486878268929 463.284688441047 2773.67018698405
"bmp8a" 93 10.6855872798769 38.9895384492864 33.1400165700083 105.6970721911 1427.98844943857
"gdf1" 1 101.708706265256 101.708706265256 101.708706265256 101.708706265256 NA
"gdf5" 12 32.520325203252 66.7511812309238 65.2927241548445 103.103412722961 844.825118130736
"gdf6" 1 62.4726682076591 62.4726682076591 62.4726682076591 62.4726682076591 NA
"gdf7" 1 51.5357658214801 51.5357658214801 51.5357658214801 51.5357658214801 NA
"gdf9" 30 19.1336292667993 67.559468174018 66.6694545105788 123.594116920035 1407.37079733814
"gdf10" 3 40.0801603206413 139.303360211115 105.053051791155 272.776868521549 10349.1776509789
"gdf15" 83 11.6616715840049 81.3994571885759 67.8610206297503 273.32361516035 3771.60199489681
"inhba" 46 13.4213775701938 61.0736348367451 49.6629313355006 274.499039253363 3923.1161243804
"inhbb" 52 30.5119912125465 91.5534728010991 64.3604477351411 687.663320038509 13397.8403475846
"inha" 72 21.5118530310201 68.5723449067898 68.3948475706893 154.083204930663 1157.205205949
"tgfb1" 2552 12.8177192150429 109.619185005367 86.9754572393778 1120.29127573169 6761.87478805076
"tgfb2" 495 12.6742712294043 83.5386469336515 70.1016473887136 451.127819548872 4524.21783731115
"tgfb3" 59 16.0449257922182 70.6045688056572 55.7786702365016 272.776868521549 2548.49073076049
"acvrl1" 189 11.3779881441364 64.8898027386343 62.3441396508728 167.813391508642 1481.87333320788
"acvr1" 930 10.093669250646 59.6013047198307 53.0072218788996 285.143997718848 1835.27149402625
"bmpr1a" 2115 10.4185116114312 69.8620982231159 61.1995104039168 318.928400574071 2434.96789511045
"acvr1b" 51 11.3779881441364 50.6631342856278 46.8801275139468 115.513457317778 1494.9347533972
"tgfbr1" 1327 10.093669250646 69.9294095923718 62.5938908362544 553.893873933754 2432.12400503168
"bmpr1b" 1 19.1336292667993 19.1336292667993 19.1336292667993 19.1336292667993 NA
"acvr1c" 4 14.965131244201 41.9514977100775 36.9509002748463 78.9390590464162 1709.91157991658
"acvr2a" 881 10.6855872798769 60.8646371780981 52.6094276094276 218.938149972633 1953.56115025936
"acvr2b" 242 12.4274547329961 77.0383019537171 71.8237494402166 456.135015964726 2405.33420565892
"bmpr2" 495 11.6582727103152 59.9778726610281 55.2547242789258 196.831020568842 1821.28944860977
"tgfbr2" 947 11.1144454447445 77.9910070852736 70.9320470988793 391.849529780564 2226.97582900878
"tgfbr3" 354 11.7605550982006 70.1895497010672 66.6533549510619 294.941749004572 1816.30806080864
"eng" 73 13.4770889487871 73.9263773465216 72.5320954522376 155.110904296572 1347.48404544671
"cfc1" 9 16.4087754130909 51.2969335432387 42.1318727617443 117.522623104948 1835.72694882604
"rgma" 1426 11.8189339321593 86.4097982233087 78.0609857110221 394.228494835607 2659.2504206867
"rgmb" 1331 10.4185116114312 71.3786663297021 65.560873270832 325.097529258778 1902.06882197975
"bambi" 3182 11.5353558657285 198.438298254082 133.540396180498 2058.15960695791 17600.7129171526
