"gene" "n_cells_ON" "min" "mean" "median" "max" "CV"
"bmp2" 4227 26.5759540767514 681.39282466992 455.166135639508 8697.59143621766 70453.5586839266
"bmp3" 94 30.3526983548837 245.767314134116 207.814525794848 1506.02409638554 19459.7181123788
"bmp4" 627 22.4265530387979 311.843343489714 262.605042016807 2340.09360374415 14459.4711484876
"bmp5" 690 22.4265530387979 252.173208971834 211.372142974423 1136.79424024252 10375.6996436383
"bmp6" 22 34.384348244679 267.638094153763 216.062001090228 807.754442649435 13565.3322086845
"bmp7" 220 24.1487563390485 344.580075624301 278.60331219327 1851.85185185185 15720.5498790819
"bmp8a" 49 36.5884892612784 244.984157685347 213.857998289136 592.06631142688 7769.87913611718
"gdf2" 8 177.999288002848 299.418625884536 260.991675045179 664.451827242525 8522.57113688438
"bmp15" 50 68.960761326805 306.112742770767 214.587097221561 1643.83561643836 22525.4215690083
"gdf3" 18 82.9600132736021 450.897105849257 337.418029099723 1027.74922918808 21721.9828292451
"gdf5" 534 62.546910182637 463.159525836608 360.03610860789 3000 34867.3944823905
"gdf6" 45 116.618075801749 447.075878006123 352.154008686466 1603.84923817161 21793.5325037981
"mstn" 6 81.7594636579184 201.164467576953 147.513343099864 524.383848977452 13072.5125530384
"gdf9" 64 24.0581244286195 226.848102089596 209.381721398738 687.285223367698 7754.74478373207
"gdf10" 1358 35.3182171363989 572.09427843645 365.898329265118 4887.58553274682 55745.5370241702
"gdf11" 11 53.5503909178537 209.562035762931 183.688464364438 400.48057669203 6277.38279865869
"gdf15" 390 31.0993624630695 485.734455255366 307.550543186377 5074.53219156359 74024.3510043633
"nodal" 1 825.763831544178 825.763831544178 825.763831544178 825.763831544178 NA
"inhba" 427 25.2716704574172 331.995755759249 255.036980362152 3581.37684042977 32323.037862003
"inhbb" 224 22.4265530387979 435.116426701425 328.787706809792 2638.52242744063 34713.9239027768
"inhbc" 1 45.2365873518502 45.2365873518502 45.2365873518502 45.2365873518502 NA
"inha" 50 31.0993624630695 178.694250369076 167.508928951776 483.325277912035 5560.69949895029
"tgfb1" 4137 22.4265530387979 466.476886523894 368.459837877671 5203.40586565752 29226.629407761
"tgfb2" 1836 22.4265530387979 455.797289046382 310.703811467418 5728.83513685551 50017.4898948183
"tgfb3" 3167 24.1487563390485 440.751988961974 349.772647778944 2710.027100271 22854.9201047399
"acvrl1" 1718 24.1487563390485 373.327152730151 288.600288600289 3555.10411376333 24584.6420018697
"acvr1" 865 25.2716704574172 269.397604580424 226.500566251416 1013.17122593718 10906.4568114683
"bmpr1a" 1963 24.1487563390485 286.408633951612 244.259892525647 1960.78431372549 11680.3685507501
"acvr1b" 20 58.885879166176 150.832065972305 135.471201311689 322.788896061975 3282.32441106664
"tgfbr1" 1971 25.2716704574172 294.231756285178 242.483026188167 1671.30919220056 13090.9190929921
"bmpr1b" 241 26.5759540767514 194.022801709596 155.908949173683 917.431192660551 10909.0548283973
"acvr1c" 14 65.4150585464774 277.780142182401 242.509428457788 607.90273556231 8084.88359956636
"acvr2a" 420 24.1487563390485 268.963827572069 223.964210669614 1108.64745011086 13682.92506253
"acvr2b" 169 32.5319626533069 273.247029171669 223.914017017465 1061.57112526539 14826.6480783314
"bmpr2" 320 24.1487563390485 236.12676864869 204.102563589852 1109.87791342952 10199.7725870328
"tgfbr2" 3152 30.8099947623009 351.594632918113 279.876854184159 2832.8611898017 18857.2433896948
"tgfbr3" 3414 22.4265530387979 376.423031863464 306.513417160955 3665.68914956012 17921.2631148152
"eng" 2053 30.3526983548837 560.891545745911 364.210270729635 4587.15596330275 51221.4899723429
"cfc1" 9 25.2716704574172 218.545969666254 182.415176942722 547.945205479452 19132.217210572
"rgma" 382 30.3526983548837 234.958134022587 203.521520842368 977.517106549365 11090.8483907375
"rgmb" 749 31.1672120928783 269.487020882318 237.416904083571 1050.05250262513 9991.61117505501
"bambi" 3222 30.8099947623009 439.187633033388 330.033039248118 4496.40287769784 33074.9240603489
